county,cases,death,date
Santa Clara,151,6,18-03-20
Santa Clara,32,2,19-03-20
Santa Clara,63,0,20-03-20
Santa Clara,23,2,21-03-20
Santa Clara,15,3,22-03-20
Santa Clara,52,0,23-03-20
Santa Clara,53,4,24-03-20
Santa Clara,63,3,25-03-20
Santa Clara,35,0,26-03-20
Santa Clara,70,5,27-03-20
Santa Clara,30,2,28-03-20
Santa Clara,4,3,29-03-20
Santa Clara,154,1,30-03-20
Santa Clara,32,-1,31-03-20
Santa Clara,28,3,01-04-20
Santa Clara,103,5,02-04-20
Santa Clara,75,1,03-04-20
Santa Clara,62,0,04-04-20
Santa Clara,7,3,05-04-20
Santa Clara,76,1,06-04-20
Santa Clara,65,3,07-04-20
Santa Clara,64,1,08-04-20
Santa Clara,44,2,09-04-20
Santa Clara,50,3,10-04-20
Santa Clara,90,0,11-04-20
Santa Clara,20,1,12-04-20
Santa Clara,81,7,13-04-20
Santa Clara,19,6,14-04-20
Santa Clara,131,0,15-04-20
Santa Clara,97,3,16-04-20
Santa Clara,45,4,17-04-20
Santa Clara,28,0,18-04-20
Santa Clara,16,6,19-04-20
Santa Clara,42,4,20-04-20
Santa Clara,23,5,21-04-20
Santa Clara,26,6,22-04-20
Santa Clara,27,1,23-04-20
Santa Clara,30,3,24-04-20
Santa Clara,19,1,25-04-20
Santa Clara,52,3,26-04-20
Santa Clara,7,3,27-04-20
Santa Clara,26,1,28-04-20
Santa Clara,17,2,29-04-20
Santa Clara,25,3,30-04-20
Santa Clara,4,2,01-05-20
Santa Clara,27,2,02-05-20
Santa Clara,32,1,03-05-20
Santa Clara,3,3,04-05-20
Santa Clara,11,4,05-05-20
Santa Clara,21,3,06-05-20
Santa Clara,11,1,07-05-20
Santa Clara,4,3,08-05-20
Santa Clara,32,0,09-05-20
Santa Clara,14,0,10-05-20
Santa Clara,9,3,11-05-20
Santa Clara,22,0,12-05-20
Santa Clara,8,2,13-05-20
Santa Clara,10,0,14-05-20
Santa Clara,15,1,15-05-20
Santa Clara,25,0,16-05-20
Santa Clara,33,0,17-05-20
Santa Clara,15,0,18-05-20
Santa Clara,12,3,19-05-20
Santa Clara,28,0,20-05-20
Santa Clara,12,0,21-05-20
Santa Clara,17,0,22-05-20
Santa Clara,56,0,23-05-20
Santa Clara,30,0,24-05-20
Santa Clara,24,1,25-05-20
Santa Clara,12,0,26-05-20
Santa Clara,21,1,27-05-20
Santa Clara,18,0,28-05-20
Santa Clara,9,0,29-05-20
Santa Clara,34,0,30-05-20
Santa Clara,44,3,31-05-20
Santa Clara,12,0,01-06-20
Santa Clara,22,0,02-06-20
Santa Clara,17,0,03-06-20
Santa Clara,35,0,04-06-20
Santa Clara,31,0,05-06-20
Santa Clara,32,0,06-06-20
Santa Clara,13,0,07-06-20
Santa Clara,24,5,08-06-20
Santa Clara,35,0,09-06-20
Santa Clara,26,0,10-06-20
Santa Clara,17,0,11-06-20
Santa Clara,50,1,12-06-20
Santa Clara,42,0,13-06-20
Santa Clara,37,1,14-06-20
Santa Clara,26,1,15-06-20
Santa Clara,24,0,16-06-20
Santa Clara,36,0,17-06-20
Santa Clara,74,0,18-06-20
Santa Clara,38,0,19-06-20
Santa Clara,59,2,20-06-20
Santa Clara,79,0,21-06-20
Santa Clara,66,0,22-06-20
Santa Clara,120,1,23-06-20
Santa Clara,112,0,24-06-20
Santa Clara,71,0,25-06-20
Santa Clara,102,0,26-06-20
Santa Clara,58,0,27-06-20
Santa Clara,150,0,28-06-20
Santa Clara,179,1,29-06-20
Santa Clara,104,1,30-06-20
Santa Clara,69,1,01-07-20
Santa Clara,177,1,02-07-20
Santa Clara,98,1,03-07-20
Santa Clara,225,0,04-07-20
Santa Clara,192,1,05-07-20
Santa Clara,132,3,06-07-20
Santa Clara,69,1,07-07-20
Santa Clara,72,0,08-07-20
Santa Clara,128,1,09-07-20
Santa Clara,181,0,10-07-20
Santa Clara,140,0,11-07-20
Santa Clara,293,0,12-07-20
Santa Clara,236,1,13-07-20
Santa Clara,198,3,14-07-20
Santa Clara,214,3,15-07-20
Santa Clara,90,3,16-07-20
Santa Clara,90,1,17-07-20
Santa Clara,175,0,18-07-20
Santa Clara,148,0,19-07-20
Santa Clara,308,1,20-07-20
Santa Clara,278,0,21-07-20
Santa Clara,277,2,22-07-20
Santa Clara,192,1,23-07-20
Santa Clara,200,2,24-07-20
Santa Clara,109,1,25-07-20
Santa Clara,219,0,26-07-20
Santa Clara,171,0,27-07-20
Santa Clara,150,1,28-07-20
Santa Clara,260,2,29-07-20
Santa Clara,141,3,30-07-20
Santa Clara,155,1,31-07-20
Santa Clara,418,0,01-08-20
Santa Clara,296,0,02-08-20
Santa Clara,170,0,03-08-20
Santa Clara,239,1,04-08-20
Santa Clara,88,4,05-08-20
Santa Clara,206,0,06-08-20
Santa Clara,129,7,07-08-20
Santa Clara,206,1,08-08-20
Santa Clara,263,1,09-08-20
Santa Clara,737,0,10-08-20
Santa Clara,305,2,11-08-20
Santa Clara,82,0,12-08-20
Santa Clara,255,1,13-08-20
Santa Clara,528,0,14-08-20
Santa Clara,320,1,15-08-20
Santa Clara,224,0,16-08-20
Santa Clara,217,0,17-08-20
San Mateo,57,1,18-03-20
San Mateo,1,0,19-03-20
San Mateo,13,0,20-03-20
San Mateo,7,0,21-03-20
San Mateo,4,0,22-03-20
San Mateo,6,0,23-03-20
San Mateo,12,1,24-03-20
San Mateo,11,3,25-03-20
San Mateo,11,0,26-03-20
San Mateo,91,2,27-03-20
San Mateo,18,2,28-03-20
San Mateo,3,3,29-03-20
San Mateo,23,-1,30-03-20
San Mateo,40,1,31-03-20
San Mateo,57,1,01-04-20
San Mateo,69,0,02-04-20
San Mateo,51,0,03-04-20
San Mateo,46,4,04-04-20
San Mateo,8,2,05-04-20
San Mateo,41,1,06-04-20
San Mateo,4,2,07-04-20
San Mateo,35,0,08-04-20
San Mateo,22,1,09-04-20
San Mateo,12,-2,10-04-20
San Mateo,20,4,11-04-20
San Mateo,2,0,12-04-20
San Mateo,15,0,13-04-20
San Mateo,2,0,14-04-20
San Mateo,26,0,15-04-20
San Mateo,38,0,16-04-20
San Mateo,23,3,17-04-20
San Mateo,53,0,18-04-20
San Mateo,24,3,19-04-20
San Mateo,45,0,20-04-20
San Mateo,43,0,21-04-20
San Mateo,12,8,22-04-20
San Mateo,25,0,23-04-20
San Mateo,34,4,24-04-20
San Mateo,50,0,25-04-20
San Mateo,16,3,26-04-20
San Mateo,22,0,27-04-20
San Mateo,37,2,28-04-20
San Mateo,41,2,29-04-20
San Mateo,24,2,30-04-20
San Mateo,28,0,01-05-20
San Mateo,50,0,02-05-20
San Mateo,5,1,03-05-20
San Mateo,36,0,04-05-20
San Mateo,22,3,05-05-20
San Mateo,13,0,06-05-20
San Mateo,50,1,07-05-20
San Mateo,25,5,08-05-20
San Mateo,30,3,09-05-20
San Mateo,10,0,10-05-20
San Mateo,36,0,11-05-20
San Mateo,34,1,12-05-20
San Mateo,17,0,13-05-20
San Mateo,38,0,14-05-20
San Mateo,24,1,15-05-20
San Mateo,40,1,16-05-20
San Mateo,28,0,17-05-20
San Mateo,21,0,18-05-20
San Mateo,3,7,19-05-20
San Mateo,35,0,20-05-20
San Mateo,52,0,21-05-20
San Mateo,56,1,22-05-20
San Mateo,15,0,23-05-20
San Mateo,63,0,24-05-20
San Mateo,13,0,25-05-20
San Mateo,29,6,26-05-20
San Mateo,78,0,27-05-20
San Mateo,25,0,28-05-20
San Mateo,33,2,29-05-20
San Mateo,26,0,30-05-20
San Mateo,40,0,31-05-20
San Mateo,21,0,01-06-20
San Mateo,13,0,02-06-20
San Mateo,40,0,03-06-20
San Mateo,41,0,04-06-20
San Mateo,47,4,05-06-20
San Mateo,11,0,06-06-20
San Mateo,57,0,07-06-20
San Mateo,32,0,08-06-20
San Mateo,32,5,09-06-20
San Mateo,29,0,10-06-20
San Mateo,7,0,11-06-20
San Mateo,34,6,12-06-20
San Mateo,18,0,13-06-20
San Mateo,20,0,14-06-20
San Mateo,20,0,15-06-20
San Mateo,27,0,16-06-20
San Mateo,31,0,17-06-20
San Mateo,25,0,18-06-20
San Mateo,39,4,19-06-20
San Mateo,42,0,20-06-20
San Mateo,26,0,21-06-20
San Mateo,32,0,22-06-20
San Mateo,94,0,23-06-20
San Mateo,57,1,24-06-20
San Mateo,36,0,25-06-20
San Mateo,63,2,26-06-20
San Mateo,33,0,27-06-20
San Mateo,66,0,28-06-20
San Mateo,87,0,29-06-20
San Mateo,57,2,30-06-20
San Mateo,20,0,01-07-20
San Mateo,64,0,02-07-20
San Mateo,49,0,03-07-20
San Mateo,93,0,04-07-20
San Mateo,43,0,05-07-20
San Mateo,75,0,06-07-20
San Mateo,41,3,07-07-20
San Mateo,42,0,08-07-20
San Mateo,59,0,09-07-20
San Mateo,52,1,10-07-20
San Mateo,112,0,11-07-20
San Mateo,32,0,12-07-20
San Mateo,69,0,13-07-20
San Mateo,116,2,14-07-20
San Mateo,85,0,15-07-20
San Mateo,78,0,16-07-20
San Mateo,71,0,17-07-20
San Mateo,81,0,18-07-20
San Mateo,34,0,19-07-20
San Mateo,87,0,20-07-20
San Mateo,124,0,21-07-20
San Mateo,63,0,22-07-20
San Mateo,99,0,23-07-20
San Mateo,59,3,24-07-20
San Mateo,69,0,25-07-20
San Mateo,55,0,26-07-20
San Mateo,30,0,27-07-20
San Mateo,63,1,28-07-20
San Mateo,134,0,29-07-20
San Mateo,64,0,30-07-20
San Mateo,47,1,31-07-20
San Mateo,104,0,01-08-20
San Mateo,98,0,02-08-20
San Mateo,43,0,03-08-20
San Mateo,29,1,04-08-20
San Mateo,5,0,05-08-20
San Mateo,190,0,06-08-20
San Mateo,63,0,07-08-20
San Mateo,73,0,08-08-20
San Mateo,73,0,09-08-20
San Mateo,128,0,10-08-20
San Mateo,117,2,11-08-20
San Mateo,88,0,12-08-20
San Mateo,76,0,13-08-20
San Mateo,152,4,14-08-20
San Mateo,205,0,15-08-20
San Mateo,82,0,16-08-20
San Mateo,45,0,17-08-20
Santa Barbara,2,0,18-03-20
Santa Barbara,3,0,19-03-20
Santa Barbara,2,0,20-03-20
Santa Barbara,1,0,21-03-20
Santa Barbara,8,0,22-03-20
Santa Barbara,2,0,23-03-20
Santa Barbara,2,0,24-03-20
Santa Barbara,5,0,25-03-20
Santa Barbara,8,0,26-03-20
Santa Barbara,4,0,27-03-20
Santa Barbara,12,0,28-03-20
Santa Barbara,3,0,29-03-20
Santa Barbara,27,0,30-03-20
Santa Barbara,10,0,31-03-20
Santa Barbara,14,0,01-04-20
Santa Barbara,22,1,02-04-20
Santa Barbara,29,0,03-04-20
Santa Barbara,13,0,04-04-20
Santa Barbara,4,0,05-04-20
Santa Barbara,18,1,06-04-20
Santa Barbara,20,0,07-04-20
Santa Barbara,12,0,08-04-20
Santa Barbara,11,0,09-04-20
Santa Barbara,22,0,10-04-20
Santa Barbara,4,0,11-04-20
Santa Barbara,3,0,12-04-20
Santa Barbara,10,0,13-04-20
Santa Barbara,21,0,14-04-20
Santa Barbara,25,0,15-04-20
Santa Barbara,14,0,16-04-20
Santa Barbara,18,1,17-04-20
Santa Barbara,23,1,18-04-20
Santa Barbara,5,0,19-04-20
Santa Barbara,11,0,20-04-20
Santa Barbara,26,1,21-04-20
Santa Barbara,23,0,22-04-20
Santa Barbara,8,0,23-04-20
Santa Barbara,5,1,24-04-20
Santa Barbara,7,1,25-04-20
Santa Barbara,7,0,26-04-20
Santa Barbara,2,0,27-04-20
Santa Barbara,3,0,28-04-20
Santa Barbara,8,1,29-04-20
Santa Barbara,13,0,30-04-20
Santa Barbara,9,0,01-05-20
Santa Barbara,7,0,02-05-20
Santa Barbara,6,0,03-05-20
Santa Barbara,12,1,04-05-20
Santa Barbara,17,1,05-05-20
Santa Barbara,24,1,06-05-20
Santa Barbara,155,0,07-05-20
Santa Barbara,334,0,08-05-20
Santa Barbara,191,0,09-05-20
Santa Barbara,78,0,10-05-20
Santa Barbara,49,0,11-05-20
Santa Barbara,5,0,12-05-20
Santa Barbara,5,0,13-05-20
Santa Barbara,13,0,14-05-20
Santa Barbara,14,0,15-05-20
Santa Barbara,13,0,16-05-20
Santa Barbara,35,0,17-05-20
Santa Barbara,44,0,18-05-20
Santa Barbara,20,0,19-05-20
Santa Barbara,3,0,20-05-20
Santa Barbara,17,0,21-05-20
Santa Barbara,13,1,22-05-20
Santa Barbara,12,0,23-05-20
Santa Barbara,7,0,24-05-20
Santa Barbara,17,0,25-05-20
Santa Barbara,0,0,26-05-20
Santa Barbara,39,0,27-05-20
Santa Barbara,13,0,28-05-20
Santa Barbara,14,0,29-05-20
Santa Barbara,4,0,30-05-20
Santa Barbara,2,0,31-05-20
Santa Barbara,9,0,01-06-20
Santa Barbara,32,2,02-06-20
Santa Barbara,19,0,03-06-20
Santa Barbara,28,0,04-06-20
Santa Barbara,45,1,05-06-20
Santa Barbara,20,0,06-06-20
Santa Barbara,3,0,07-06-20
Santa Barbara,6,0,08-06-20
Santa Barbara,30,0,09-06-20
Santa Barbara,24,1,10-06-20
Santa Barbara,17,0,11-06-20
Santa Barbara,74,0,12-06-20
Santa Barbara,30,2,13-06-20
Santa Barbara,50,0,14-06-20
Santa Barbara,5,0,15-06-20
Santa Barbara,36,3,16-06-20
Santa Barbara,57,1,17-06-20
Santa Barbara,54,0,18-06-20
Santa Barbara,83,0,19-06-20
Santa Barbara,74,0,20-06-20
Santa Barbara,72,0,21-06-20
Santa Barbara,17,5,22-06-20
Santa Barbara,51,0,23-06-20
Santa Barbara,71,0,24-06-20
Santa Barbara,64,1,25-06-20
Santa Barbara,169,0,26-06-20
Santa Barbara,55,0,27-06-20
Santa Barbara,88,0,28-06-20
Santa Barbara,147,1,29-06-20
Santa Barbara,118,0,30-06-20
Santa Barbara,76,0,01-07-20
Santa Barbara,99,0,02-07-20
Santa Barbara,21,0,03-07-20
Santa Barbara,114,0,04-07-20
Santa Barbara,151,0,05-07-20
Santa Barbara,92,0,06-07-20
Santa Barbara,103,1,07-07-20
Santa Barbara,119,-1,08-07-20
Santa Barbara,83,0,09-07-20
Santa Barbara,109,2,10-07-20
Santa Barbara,106,0,11-07-20
Santa Barbara,70,0,12-07-20
Santa Barbara,88,0,13-07-20
Santa Barbara,200,0,14-07-20
Santa Barbara,92,0,15-07-20
Santa Barbara,139,1,16-07-20
Santa Barbara,129,0,17-07-20
Santa Barbara,109,0,18-07-20
Santa Barbara,35,0,19-07-20
Santa Barbara,121,0,20-07-20
Santa Barbara,156,0,21-07-20
Santa Barbara,86,0,22-07-20
Santa Barbara,120,0,23-07-20
Santa Barbara,148,0,24-07-20
Santa Barbara,104,0,25-07-20
Santa Barbara,59,0,26-07-20
Santa Barbara,87,0,27-07-20
Santa Barbara,84,0,28-07-20
Santa Barbara,105,0,29-07-20
Santa Barbara,58,0,30-07-20
Santa Barbara,102,28,31-07-20
Santa Barbara,90,0,01-08-20
Santa Barbara,67,0,02-08-20
Santa Barbara,48,1,03-08-20
Santa Barbara,11,3,04-08-20
Santa Barbara,6,3,05-08-20
Santa Barbara,23,1,06-08-20
Santa Barbara,-111,1,07-08-20
Santa Barbara,89,0,08-08-20
Santa Barbara,71,0,09-08-20
Santa Barbara,200,0,10-08-20
Santa Barbara,73,4,11-08-20
Santa Barbara,107,0,12-08-20
Santa Barbara,80,2,13-08-20
Santa Barbara,173,2,14-08-20
Santa Barbara,36,0,15-08-20
Santa Barbara,30,0,16-08-20
Santa Barbara,70,3,17-08-20
Tuolumne,0,0,18-03-20
Tuolumne,0,0,19-03-20
Tuolumne,0,0,20-03-20
Tuolumne,0,0,21-03-20
Tuolumne,0,0,22-03-20
Tuolumne,0,0,23-03-20
Tuolumne,0,0,24-03-20
Tuolumne,0,0,25-03-20
Tuolumne,0,0,26-03-20
Tuolumne,1,0,27-03-20
Tuolumne,0,0,28-03-20
Tuolumne,0,0,29-03-20
Tuolumne,0,0,30-03-20
Tuolumne,0,0,31-03-20
Tuolumne,0,0,01-04-20
Tuolumne,0,0,02-04-20
Tuolumne,0,0,03-04-20
Tuolumne,0,0,04-04-20
Tuolumne,0,0,05-04-20
Tuolumne,0,0,06-04-20
Tuolumne,0,0,07-04-20
Tuolumne,-1,0,08-04-20
Tuolumne,0,0,09-04-20
Tuolumne,0,0,10-04-20
Tuolumne,0,0,11-04-20
Tuolumne,0,0,12-04-20
Tuolumne,0,0,13-04-20
Tuolumne,0,0,14-04-20
Tuolumne,1,0,15-04-20
Tuolumne,0,0,16-04-20
Tuolumne,1,0,17-04-20
Tuolumne,0,0,18-04-20
Tuolumne,0,0,19-04-20
Tuolumne,0,0,20-04-20
Tuolumne,0,0,21-04-20
Tuolumne,0,0,22-04-20
Tuolumne,0,0,23-04-20
Tuolumne,0,0,24-04-20
Tuolumne,0,0,25-04-20
Tuolumne,1,0,26-04-20
Tuolumne,0,0,27-04-20
Tuolumne,1,0,28-04-20
Tuolumne,0,0,29-04-20
Tuolumne,-1,0,30-04-20
Tuolumne,0,0,01-05-20
Tuolumne,0,0,02-05-20
Tuolumne,0,0,03-05-20
Tuolumne,0,0,04-05-20
Tuolumne,-1,0,05-05-20
Tuolumne,0,0,06-05-20
Tuolumne,0,0,07-05-20
Tuolumne,0,0,08-05-20
Tuolumne,0,0,09-05-20
Tuolumne,0,0,10-05-20
Tuolumne,0,0,11-05-20
Tuolumne,0,0,12-05-20
Tuolumne,0,0,13-05-20
Tuolumne,0,0,14-05-20
Tuolumne,0,0,15-05-20
Tuolumne,0,0,16-05-20
Tuolumne,0,0,17-05-20
Tuolumne,0,0,18-05-20
Tuolumne,0,0,19-05-20
Tuolumne,0,0,20-05-20
Tuolumne,0,0,21-05-20
Tuolumne,0,0,22-05-20
Tuolumne,0,0,23-05-20
Tuolumne,0,0,24-05-20
Tuolumne,0,0,25-05-20
Tuolumne,0,0,26-05-20
Tuolumne,2,0,27-05-20
Tuolumne,0,0,28-05-20
Tuolumne,0,0,29-05-20
Tuolumne,0,0,30-05-20
Tuolumne,0,0,31-05-20
Tuolumne,0,0,01-06-20
