STATION,NAME,DATE,TAVG,TMAX,TMIN
USW00094728,"NY CITY CENTRAL PARK, NY US","Thursday, 20 February, 2020",,1.7,-3.2
USW00094728,"NY CITY CENTRAL PARK, NY US","Friday, 21 February, 2020",,1.7,-6.6
USW00094728,"NY CITY CENTRAL PARK, NY US","Saturday, 22 February, 2020",,10,-1
USW00094728,"NY CITY CENTRAL PARK, NY US","Sunday, 23 February, 2020",,13.3,3.9
USW00094728,"NY CITY CENTRAL PARK, NY US","Monday, 24 February, 2020",,16.7,5
USW00094728,"NY CITY CENTRAL PARK, NY US","Tuesday, 25 February, 2020",,11.7,7.8
USW00094728,"NY CITY CENTRAL PARK, NY US","Wednesday, 26 February, 2020",,8.9,6.1
USW00094728,"NY CITY CENTRAL PARK, NY US","Thursday, 27 February, 2020",,6.1,-0.5
USW00094728,"NY CITY CENTRAL PARK, NY US","Friday, 28 February, 2020",,5.6,-1.6
USW00094728,"NY CITY CENTRAL PARK, NY US","Saturday, 29 February, 2020",,1.7,-3.8
USW00094728,"NY CITY CENTRAL PARK, NY US","Sunday, 1 March, 2020",,6.7,-3.8
USW00094728,"NY CITY CENTRAL PARK, NY US","Monday, 2 March, 2020",,14.4,4.4
USW00094728,"NY CITY CENTRAL PARK, NY US","Tuesday, 3 March, 2020",,15,9.4
USW00094728,"NY CITY CENTRAL PARK, NY US","Wednesday, 4 March, 2020",,13.3,7.2
USW00094728,"NY CITY CENTRAL PARK, NY US","Thursday, 5 March, 2020",,10.6,3.9
USW00094728,"NY CITY CENTRAL PARK, NY US","Friday, 6 March, 2020",,7.2,2.8
USW00094728,"NY CITY CENTRAL PARK, NY US","Saturday, 7 March, 2020",,8.9,2.2
USW00094728,"NY CITY CENTRAL PARK, NY US","Sunday, 8 March, 2020",,15,1.7
USW00094728,"NY CITY CENTRAL PARK, NY US","Monday, 9 March, 2020",,22.2,8.3
USW00094728,"NY CITY CENTRAL PARK, NY US","Tuesday, 10 March, 2020",,18.3,12.2
USW00094728,"NY CITY CENTRAL PARK, NY US","Wednesday, 11 March, 2020",,13.9,6.1
USW00094728,"NY CITY CENTRAL PARK, NY US","Thursday, 12 March, 2020",,10,6.1
USW00094728,"NY CITY CENTRAL PARK, NY US","Friday, 13 March, 2020",,21.1,7.2
USW00094728,"NY CITY CENTRAL PARK, NY US","Saturday, 14 March, 2020",,13.9,6.1
USW00094728,"NY CITY CENTRAL PARK, NY US","Sunday, 15 March, 2020",,12.2,4.4
USW00094728,"NY CITY CENTRAL PARK, NY US","Monday, 16 March, 2020",,7.2,0.6
USW00094728,"NY CITY CENTRAL PARK, NY US","Tuesday, 17 March, 2020",,12.2,5
USW00094728,"NY CITY CENTRAL PARK, NY US","Wednesday, 18 March, 2020",,12.2,5
USW00094728,"NY CITY CENTRAL PARK, NY US","Thursday, 19 March, 2020",,11.1,5
USW00094728,"NY CITY CENTRAL PARK, NY US","Friday, 20 March, 2020",,25,8.3
USW00094728,"NY CITY CENTRAL PARK, NY US","Saturday, 21 March, 2020",,18.3,4.4
USW00094728,"NY CITY CENTRAL PARK, NY US","Sunday, 22 March, 2020",,7.2,0.6
USW00094728,"NY CITY CENTRAL PARK, NY US","Monday, 23 March, 2020",,5,2.2
USW00094728,"NY CITY CENTRAL PARK, NY US","Tuesday, 24 March, 2020",,12.8,2.2
USW00094728,"NY CITY CENTRAL PARK, NY US","Wednesday, 25 March, 2020",,7.2,4.4
USW00094728,"NY CITY CENTRAL PARK, NY US","Thursday, 26 March, 2020",,15.6,3.3
USW00094728,"NY CITY CENTRAL PARK, NY US","Friday, 27 March, 2020",,20.6,10
USW00094728,"NY CITY CENTRAL PARK, NY US","Saturday, 28 March, 2020",,12.2,6.7
USW00094728,"NY CITY CENTRAL PARK, NY US","Sunday, 29 March, 2020",,8.3,6.7
USW00094728,"NY CITY CENTRAL PARK, NY US","Monday, 30 March, 2020",,11.1,5
USW00094728,"NY CITY CENTRAL PARK, NY US","Tuesday, 31 March, 2020",,9.4,5
USW00094728,"NY CITY CENTRAL PARK, NY US","Wednesday, 1 April, 2020",,13.3,3.3
USW00094728,"NY CITY CENTRAL PARK, NY US","Thursday, 2 April, 2020",,14.4,3.3
USW00094728,"NY CITY CENTRAL PARK, NY US","Friday, 3 April, 2020",,11.1,7.2
USW00094728,"NY CITY CENTRAL PARK, NY US","Saturday, 4 April, 2020",,16.7,7.8
USW00094728,"NY CITY CENTRAL PARK, NY US","Sunday, 5 April, 2020",,18.3,8.3
USW00094728,"NY CITY CENTRAL PARK, NY US","Monday, 6 April, 2020",,18.9,9.4
USW00094728,"NY CITY CENTRAL PARK, NY US","Tuesday, 7 April, 2020",,20,11.1
USW00094728,"NY CITY CENTRAL PARK, NY US","Wednesday, 8 April, 2020",,17.8,9.4
USW00094728,"NY CITY CENTRAL PARK, NY US","Thursday, 9 April, 2020",,15,6.1
USW00094728,"NY CITY CENTRAL PARK, NY US","Friday, 10 April, 2020",,9.4,2.8
USW00094728,"NY CITY CENTRAL PARK, NY US","Saturday, 11 April, 2020",,13.3,3.3
USW00094728,"NY CITY CENTRAL PARK, NY US","Sunday, 12 April, 2020",,17.2,6.7
USW00094728,"NY CITY CENTRAL PARK, NY US","Monday, 13 April, 2020",,19.4,11.7
